ProductID,ProductName,month,revenue,stat_anomaly,prev_year_revenue,yoy_anomaly
18,"Carnarvon Tigers",1996-02-01,2187.5000,"No Anomaly",600.0000,"YoY Anomaly (>50% change)"
18,"Carnarvon Tigers",1996-03-01,2812.5000,"No Anomaly",1250.0000,"YoY Anomaly (>50% change)"
18,"Carnarvon Tigers",1996-04-01,1125.0000,"No Anomaly",3000.0000,"YoY Anomaly (>50% change)"
18,"Carnarvon Tigers",1996-05-01,3312.5000,"No Anomaly",450.0000,"YoY Anomaly (>50% change)"
19,"Teatime Chocolate Biscuits",1996-01-01,680.8000,"No Anomaly",138.7000,"YoY Anomaly (>50% change)"
19,"Teatime Chocolate Biscuits",1996-02-01,266.8000,"No Anomaly",109.5000,"YoY Anomaly (>50% change)"
19,"Teatime Chocolate Biscuits",1996-03-01,340.4000,"No Anomaly",73.0000,"YoY Anomaly (>50% change)"
19,"Teatime Chocolate Biscuits",1996-04-01,174.8000,"No Anomaly",584.0000,"YoY Anomaly (>50% change)"
19,"Teatime Chocolate Biscuits",1996-05-01,1168.4000,"High Anomaly",306.6000,"YoY Anomaly (>50% change)"
19,"Teatime Chocolate Biscuits",1996-06-01,92.0000,"No Anomaly",489.1000,"YoY Anomaly (>50% change)"
20,"Sir Rodney's Marmalade",1996-04-01,5670.0000,"High Anomaly",NULL,"No Anomaly"
21,"Sir Rodney's Scones",1995-11-01,370.0000,"No Anomaly",240.0000,"YoY Anomaly (>50% change)"
21,"Sir Rodney's Scones",1995-12-01,700.0000,"No Anomaly",80.0000,"YoY Anomaly (>50% change)"
21,"Sir Rodney's Scones",1996-01-01,400.0000,"No Anomaly",40.0000,"YoY Anomaly (>50% change)"
21,"Sir Rodney's Scones",1996-03-01,1000.0000,"No Anomaly",80.0000,"YoY Anomaly (>50% change)"
21,"Sir Rodney's Scones",1996-04-01,1480.0000,"High Anomaly",336.0000,"YoY Anomaly (>50% change)"
23,Tunnbröd,1996-04-01,72.0000,"No Anomaly",288.0000,"YoY Anomaly (>50% change)"
23,Tunnbröd,1996-06-01,18.0000,"No Anomaly",288.0000,"YoY Anomaly (>50% change)"
24,"Guaraná Fantástica",1996-03-01,657.0000,"No Anomaly",162.0000,"YoY Anomaly (>50% change)"
24,"Guaraná Fantástica",1996-04-01,900.0000,"High Anomaly",108.0000,"YoY Anomaly (>50% change)"
24,"Guaraná Fantástica",1996-05-01,630.0000,"No Anomaly",72.0000,"YoY Anomaly (>50% change)"
24,"Guaraná Fantástica",1996-06-01,90.0000,"No Anomaly",478.8000,"YoY Anomaly (>50% change)"
26,"Gumbär Gummibärchen",1996-01-01,655.8300,"No Anomaly",1842.6000,"YoY Anomaly (>50% change)"
26,"Gumbär Gummibärchen",1996-02-01,3279.1500,"High Anomaly",398.4000,"YoY Anomaly (>50% change)"
26,"Gumbär Gummibärchen",1996-03-01,624.6000,"No Anomaly",1743.0000,"YoY Anomaly (>50% change)"
26,"Gumbär Gummibärchen",1996-04-01,156.1500,"No Anomaly",1543.8000,"YoY Anomaly (>50% change)"
26,"Gumbär Gummibärchen",1996-05-01,2529.6300,"No Anomaly",1518.9000,"YoY Anomaly (>50% change)"
27,"Schoggi Schokolade",1995-05-01,5268.0000,"High Anomaly",NULL,"No Anomaly"
28,"Rössle Sauerkraut",1995-12-01,1140.0000,"No Anomaly",728.0000,"YoY Anomaly (>50% change)"
28,"Rössle Sauerkraut",1996-03-01,136.8000,"No Anomaly",509.6000,"YoY Anomaly (>50% change)"
28,"Rössle Sauerkraut",1996-04-01,2736.0000,"No Anomaly",1565.2000,"YoY Anomaly (>50% change)"
28,"Rössle Sauerkraut",1996-05-01,4104.0000,"High Anomaly",946.4000,"YoY Anomaly (>50% change)"
28,"Rössle Sauerkraut",1996-06-01,364.8000,"No Anomaly",1528.8000,"YoY Anomaly (>50% change)"
29,"Thüringer Rostbratwurst",1995-11-01,6437.0800,"No Anomaly",990.0000,"YoY Anomaly (>50% change)"
29,"Thüringer Rostbratwurst",1996-01-01,8912.8800,"No Anomaly",1485.0000,"YoY Anomaly (>50% change)"
29,"Thüringer Rostbratwurst",1996-03-01,20301.5600,"High Anomaly",3861.0000,"YoY Anomaly (>50% change)"
29,"Thüringer Rostbratwurst",1996-05-01,15102.3800,"High Anomaly",2079.0000,"YoY Anomaly (>50% change)"
30,"Nord-Ost Matjeshering",1995-10-01,51.7800,"No Anomaly",1242.0000,"YoY Anomaly (>50% change)"
30,"Nord-Ost Matjeshering",1995-12-01,1553.4000,"No Anomaly",207.0000,"YoY Anomaly (>50% change)"
30,"Nord-Ost Matjeshering",1996-03-01,3262.1400,"High Anomaly",372.6000,"YoY Anomaly (>50% change)"
30,"Nord-Ost Matjeshering",1996-05-01,491.9100,"No Anomaly",165.6000,"YoY Anomaly (>50% change)"
31,"Gorgonzola Telino",1995-11-01,875.0000,"No Anomaly",200.0000,"YoY Anomaly (>50% change)"
31,"Gorgonzola Telino",1995-12-01,137.5000,"No Anomaly",550.0000,"YoY Anomaly (>50% change)"
31,"Gorgonzola Telino",1996-01-01,1862.5000,"No Anomaly",850.0000,"YoY Anomaly (>50% change)"
31,"Gorgonzola Telino",1996-03-01,437.5000,"No Anomaly",1640.0000,"YoY Anomaly (>50% change)"
31,"Gorgonzola Telino",1996-04-01,1912.5000,"No Anomaly",140.0000,"YoY Anomaly (>50% change)"
31,"Gorgonzola Telino",1996-05-01,187.5000,"No Anomaly",30.0000,"YoY Anomaly (>50% change)"
32,"Mascarpone Fabioli",1996-05-01,2720.0000,"High Anomaly",NULL,"No Anomaly"
32,"Mascarpone Fabioli",1996-06-01,32.0000,"No Anomaly",153.6000,"YoY Anomaly (>50% change)"
33,Geitost,1996-03-01,262.5000,"High Anomaly",16.0000,"YoY Anomaly (>50% change)"
33,Geitost,1996-04-01,55.0000,"No Anomaly",120.0000,"YoY Anomaly (>50% change)"
34,"Sasquatch Ale",1996-05-01,3010.0000,"High Anomaly",156.8000,"YoY Anomaly (>50% change)"
35,"Steeleye Stout",1995-12-01,630.0000,"No Anomaly",288.0000,"YoY Anomaly (>50% change)"
35,"Steeleye Stout",1996-01-01,270.0000,"No Anomaly",1497.6000,"YoY Anomaly (>50% change)"
35,"Steeleye Stout",1996-05-01,2106.0000,"High Anomaly",115.2000,"YoY Anomaly (>50% change)"
36,"Inlagd Sill",1995-06-01,2280.0000,"High Anomaly",NULL,"No Anomaly"
36,"Inlagd Sill",1995-11-01,855.0000,"No Anomaly",380.0000,"YoY Anomaly (>50% change)"
36,"Inlagd Sill",1996-04-01,1805.0000,"No Anomaly",91.2000,"YoY Anomaly (>50% change)"
36,"Inlagd Sill",1996-05-01,1311.0000,"No Anomaly",76.0000,"YoY Anomaly (>50% change)"
37,"Gravad lax",1996-02-01,1560.0000,"High Anomaly",NULL,"No Anomaly"
38,"Côte de Blaye",1996-03-01,26350.0000,"High Anomaly",NULL,"No Anomaly"
38,"Côte de Blaye",1996-04-01,17127.5000,"No Anomaly",4216.0000,"YoY Anomaly (>50% change)"
38,"Côte de Blaye",1996-05-01,6587.5000,"No Anomaly",16864.0000,"YoY Anomaly (>50% change)"
39,"Chartreuse verte",1996-01-01,2664.0000,"High Anomaly",691.2000,"YoY Anomaly (>50% change)"
39,"Chartreuse verte",1996-03-01,2394.0000,"High Anomaly",57.6000,"YoY Anomaly (>50% change)"
39,"Chartreuse verte",1996-04-01,540.0000,"No Anomaly",1497.6000,"YoY Anomaly (>50% change)"
40,"Boston Crab Meat",1995-10-01,2649.6000,"High Anomaly",735.0000,"YoY Anomaly (>50% change)"
40,"Boston Crab Meat",1996-01-01,18.4000,"No Anomaly",735.0000,"YoY Anomaly (>50% change)"
40,"Boston Crab Meat",1996-02-01,2116.0000,"No Anomaly",58.8000,"YoY Anomaly (>50% change)"
40,"Boston Crab Meat",1996-03-01,1895.2000,"No Anomaly",29.4000,"YoY Anomaly (>50% change)"
41,"Jack's New England Clam Chowder",1995-10-01,1621.2000,"High Anomaly",NULL,"No Anomaly"
41,"Jack's New England Clam Chowder",1996-01-01,714.1000,"No Anomaly",77.0000,"YoY Anomaly (>50% change)"
41,"Jack's New England Clam Chowder",1996-02-01,501.8000,"No Anomaly",246.4000,"YoY Anomaly (>50% change)"
41,"Jack's New England Clam Chowder",1996-03-01,472.8500,"No Anomaly",100.1000,"YoY Anomaly (>50% change)"
41,"Jack's New England Clam Chowder",1996-04-01,386.0000,"No Anomaly",61.6000,"YoY Anomaly (>50% change)"
41,"Jack's New England Clam Chowder",1996-05-01,1206.2500,"No Anomaly",192.5000,"YoY Anomaly (>50% change)"
41,"Jack's New England Clam Chowder",1996-06-01,501.8000,"No Anomaly",231.0000,"YoY Anomaly (>50% change)"
42,"Singaporean Hokkien Fried Mee",1996-01-01,476.0000,"No Anomaly",98.0000,"YoY Anomaly (>50% change)"
42,"Singaporean Hokkien Fried Mee",1996-02-01,868.0000,"No Anomaly",89.6000,"YoY Anomaly (>50% change)"
42,"Singaporean Hokkien Fried Mee",1996-03-01,350.0000,"No Anomaly",112.0000,"YoY Anomaly (>50% change)"
42,"Singaporean Hokkien Fried Mee",1996-05-01,1568.0000,"High Anomaly",448.0000,"YoY Anomaly (>50% change)"
43,"Ipoh Coffee",1995-06-01,3910.0000,"High Anomaly",NULL,"No Anomaly"
43,"Ipoh Coffee",1996-04-01,2254.0000,"No Anomaly",1472.0000,"YoY Anomaly (>50% change)"
44,"Gula Malacca",1995-03-01,1550.0000,"High Anomaly",NULL,"No Anomaly"
44,"Gula Malacca",1996-01-01,194.5000,"No Anomaly",945.5000,"YoY Anomaly (>50% change)"
44,"Gula Malacca",1996-02-01,311.2000,"No Anomaly",1193.5000,"YoY Anomaly (>50% change)"
44,"Gula Malacca",1996-05-01,525.1500,"No Anomaly",1550.0000,"YoY Anomaly (>50% change)"
45,"Røgede sild",1995-11-01,1045.0000,"High Anomaly",NULL,"No Anomaly"
46,Spegesild,1995-10-01,1260.0000,"High Anomaly",NULL,"No Anomaly"
46,Spegesild,1996-03-01,252.0000,"No Anomaly",144.0000,"YoY Anomaly (>50% change)"
46,Spegesild,1996-06-01,396.0000,"No Anomaly",211.2000,"YoY Anomaly (>50% change)"
47,"Zaanse koeken",1995-10-01,674.5000,"High Anomaly",NULL,"No Anomaly"
47,"Zaanse koeken",1996-03-01,199.5000,"No Anomaly",121.6000,"YoY Anomaly (>50% change)"
48,Chocolade,1995-02-01,714.0000,"High Anomaly",NULL,"No Anomaly"
49,Maxilaku,1996-03-01,1740.0000,"High Anomaly",NULL,"No Anomaly"
49,Maxilaku,1996-04-01,1360.0000,"No Anomaly",640.0000,"YoY Anomaly (>50% change)"
49,Maxilaku,1996-05-01,1240.0000,"No Anomaly",240.0000,"YoY Anomaly (>50% change)"
50,"Valkoinen suklaa",1995-12-01,975.0000,"High Anomaly",NULL,"No Anomaly"
51,"Manjimup Dried Apples",1996-01-01,9964.0000,"High Anomaly",3180.0000,"YoY Anomaly (>50% change)"
51,"Manjimup Dried Apples",1996-02-01,689.0000,"No Anomaly",84.8000,"YoY Anomaly (>50% change)"
51,"Manjimup Dried Apples",1996-03-01,106.0000,"No Anomaly",2035.2000,"YoY Anomaly (>50% change)"
51,"Manjimup Dried Apples",1996-04-01,3922.0000,"No Anomaly",848.0000,"YoY Anomaly (>50% change)"
51,"Manjimup Dried Apples",1996-05-01,7049.0000,"No Anomaly",763.2000,"YoY Anomaly (>50% change)"
52,"Filo Mix",1995-07-01,700.0000,"High Anomaly",NULL,"No Anomaly"
52,"Filo Mix",1995-12-01,749.0000,"High Anomaly",NULL,"No Anomaly"
52,"Filo Mix",1996-04-01,441.0000,"No Anomaly",156.8000,"YoY Anomaly (>50% change)"
52,"Filo Mix",1996-05-01,224.0000,"No Anomaly",112.0000,"YoY Anomaly (>50% change)"
52,"Filo Mix",1996-06-01,14.0000,"No Anomaly",196.0000,"YoY Anomaly (>50% change)"
53,"Perth Pasties",1995-11-01,4034.4000,"High Anomaly",NULL,"No Anomaly"
53,"Perth Pasties",1996-02-01,951.2000,"No Anomaly",393.0000,"YoY Anomaly (>50% change)"
53,"Perth Pasties",1996-03-01,98.4000,"No Anomaly",943.2000,"YoY Anomaly (>50% change)"
54,Tourtière,1995-03-01,831.9000,"High Anomaly",NULL,"No Anomaly"
54,Tourtière,1995-10-01,268.2000,"No Anomaly",59.0000,"YoY Anomaly (>50% change)"
54,Tourtière,1995-11-01,856.7500,"High Anomaly",29.5000,"YoY Anomaly (>50% change)"
54,Tourtière,1996-01-01,141.5500,"No Anomaly",88.5000,"YoY Anomaly (>50% change)"
54,Tourtière,1996-02-01,260.7500,"No Anomaly",672.6000,"YoY Anomaly (>50% change)"
54,Tourtière,1996-03-01,312.9000,"No Anomaly",59.0000,"YoY Anomaly (>50% change)"
54,Tourtière,1996-05-01,223.5000,"No Anomaly",35.4000,"YoY Anomaly (>50% change)"
55,"Pâté chinois",1995-03-01,3456.0000,"High Anomaly",NULL,"No Anomaly"
55,"Pâté chinois",1995-10-01,96.0000,"No Anomaly",403.2000,"YoY Anomaly (>50% change)"
55,"Pâté chinois",1996-01-01,1440.0000,"No Anomaly",230.4000,"YoY Anomaly (>50% change)"
55,"Pâté chinois",1996-03-01,960.0000,"No Anomaly",2592.0000,"YoY Anomaly (>50% change)"
55,"Pâté chinois",1996-04-01,696.0000,"No Anomaly",192.0000,"YoY Anomaly (>50% change)"
55,"Pâté chinois",1996-05-01,4440.0000,"High Anomaly",3456.0000,"No Anomaly"
55,"Pâté chinois",1996-06-01,48.0000,"No Anomaly",614.4000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1995-05-01,5517.6000,"High Anomaly",NULL,"No Anomaly"
56,"Gnocchi di nonna Alice",1995-09-01,3040.0000,"No Anomaly",60.8000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1995-10-01,2166.0000,"No Anomaly",729.6000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1995-11-01,2584.0000,"No Anomaly",364.8000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1995-12-01,3686.0000,"No Anomaly",608.0000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1996-01-01,3800.0000,"No Anomaly",1155.2000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1996-02-01,3952.0000,"No Anomaly",2280.0000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1996-03-01,1406.0000,"No Anomaly",3435.2000,"YoY Anomaly (>50% change)"
56,"Gnocchi di nonna Alice",1996-05-01,950.0000,"No Anomaly",5517.6000,"YoY Anomaly (>50% change)"
57,"Ravioli Angelo",1996-03-01,390.0000,"No Anomaly",1014.0000,"YoY Anomaly (>50% change)"
57,"Ravioli Angelo",1996-04-01,877.5000,"No Anomaly",31.2000,"YoY Anomaly (>50% change)"
57,"Ravioli Angelo",1996-05-01,936.0000,"No Anomaly",249.6000,"YoY Anomaly (>50% change)"
59,"Raclette Courdavault",1995-10-01,715.0000,"No Anomaly",4400.0000,"YoY Anomaly (>50% change)"
59,"Raclette Courdavault",1995-11-01,6050.0000,"No Anomaly",924.0000,"YoY Anomaly (>50% change)"
59,"Raclette Courdavault",1995-12-01,5115.0000,"No Anomaly",1760.0000,"YoY Anomaly (>50% change)"
59,"Raclette Courdavault",1996-02-01,8085.0000,"No Anomaly",528.0000,"YoY Anomaly (>50% change)"
59,"Raclette Courdavault",1996-04-01,220.0000,"No Anomaly",4664.0000,"YoY Anomaly (>50% change)"
59,"Raclette Courdavault",1996-05-01,17710.0000,"High Anomaly",4488.0000,"YoY Anomaly (>50% change)"
60,"Camembert Pierrot",1995-11-01,340.0000,"No Anomaly",1088.0000,"YoY Anomaly (>50% change)"
60,"Camembert Pierrot",1996-01-01,510.0000,"No Anomaly",3889.6000,"YoY Anomaly (>50% change)"
60,"Camembert Pierrot",1996-02-01,5304.0000,"No Anomaly",3019.2000,"YoY Anomaly (>50% change)"
60,"Camembert Pierrot",1996-03-01,3400.0000,"No Anomaly",1632.0000,"YoY Anomaly (>50% change)"
60,"Camembert Pierrot",1996-04-01,3740.0000,"No Anomaly",1632.0000,"YoY Anomaly (>50% change)"
60,"Camembert Pierrot",1996-05-01,5916.0000,"High Anomaly",3604.0000,"YoY Anomaly (>50% change)"
60,"Camembert Pierrot",1996-06-01,68.0000,"No Anomaly",1190.0000,"YoY Anomaly (>50% change)"
61,"Sirop d'érable",1995-08-01,3420.0000,"High Anomaly",NULL,"No Anomaly"
61,"Sirop d'érable",1996-05-01,2764.5000,"No Anomaly",364.8000,"YoY Anomaly (>50% change)"
62,"Tarte au sucre",1995-11-01,3352.4000,"No Anomaly",2048.8000,"YoY Anomaly (>50% change)"
62,"Tarte au sucre",1995-12-01,1922.7000,"No Anomaly",4925.0000,"YoY Anomaly (>50% change)"
62,"Tarte au sucre",1996-01-01,2070.6000,"No Anomaly",1103.2000,"YoY Anomaly (>50% change)"
62,"Tarte au sucre",1996-02-01,4831.4000,"No Anomaly",1182.0000,"YoY Anomaly (>50% change)"
62,"Tarte au sucre",1996-04-01,7690.8000,"High Anomaly",1379.0000,"YoY Anomaly (>50% change)"
62,"Tarte au sucre",1996-05-01,1626.9000,"No Anomaly",147.9000,"YoY Anomaly (>50% change)"
63,Vegie-spread,1996-04-01,4609.5000,"High Anomaly",NULL,"No Anomaly"
64,"Wimmers gute Semmelknödel",1996-03-01,1163.7500,"No Anomaly",239.4000,"YoY Anomaly (>50% change)"
64,"Wimmers gute Semmelknödel",1996-04-01,399.0000,"No Anomaly",2261.0000,"YoY Anomaly (>50% change)"
64,"Wimmers gute Semmelknödel",1996-05-01,1496.2500,"No Anomaly",798.0000,"YoY Anomaly (>50% change)"
64,"Wimmers gute Semmelknödel",1996-06-01,4389.0000,"High Anomaly",186.2000,"YoY Anomaly (>50% change)"
65,"Louisiana Fiery Hot Pepper Sauce",1995-11-01,1368.2500,"No Anomaly",504.0000,"YoY Anomaly (>50% change)"
65,"Louisiana Fiery Hot Pepper Sauce",1995-12-01,1052.5000,"No Anomaly",672.0000,"YoY Anomaly (>50% change)"
65,"Louisiana Fiery Hot Pepper Sauce",1996-01-01,1726.1000,"High Anomaly",504.0000,"YoY Anomaly (>50% change)"
65,"Louisiana Fiery Hot Pepper Sauce",1996-03-01,1347.2000,"No Anomaly",336.0000,"YoY Anomaly (>50% change)"
65,"Louisiana Fiery Hot Pepper Sauce",1996-05-01,442.0500,"No Anomaly",1058.4000,"YoY Anomaly (>50% change)"
67,"Laughing Lumberjack Lager",1996-04-01,896.0000,"High Anomaly",NULL,"No Anomaly"
68,"Scottish Longbreads",1995-12-01,75.0000,"No Anomaly",30.0000,"YoY Anomaly (>50% change)"
68,"Scottish Longbreads",1996-01-01,912.5000,"No Anomaly",380.0000,"YoY Anomaly (>50% change)"
68,"Scottish Longbreads",1996-02-01,550.0000,"No Anomaly",200.0000,"YoY Anomaly (>50% change)"
68,"Scottish Longbreads",1996-03-01,725.0000,"No Anomaly",40.0000,"YoY Anomaly (>50% change)"
68,"Scottish Longbreads",1996-05-01,1237.5000,"No Anomaly",660.0000,"YoY Anomaly (>50% change)"
69,Gudbrandsdalsost,1995-12-01,4248.0000,"High Anomaly",NULL,"No Anomaly"
69,Gudbrandsdalsost,1996-04-01,684.0000,"No Anomaly",1670.4000,"YoY Anomaly (>50% change)"
69,Gudbrandsdalsost,1996-05-01,2376.0000,"No Anomaly",1008.0000,"YoY Anomaly (>50% change)"
70,"Outback Lager",1995-11-01,1740.0000,"High Anomaly",NULL,"No Anomaly"
70,"Outback Lager",1996-02-01,1440.0000,"No Anomaly",720.0000,"YoY Anomaly (>50% change)"
70,"Outback Lager",1996-03-01,1245.0000,"No Anomaly",96.0000,"YoY Anomaly (>50% change)"
70,"Outback Lager",1996-05-01,1035.0000,"No Anomaly",300.0000,"YoY Anomaly (>50% change)"
71,Fløtemysost,1995-11-01,2537.0000,"No Anomaly",344.0000,"YoY Anomaly (>50% change)"
71,Fløtemysost,1996-01-01,602.0000,"No Anomaly",86.0000,"YoY Anomaly (>50% change)"
71,Fløtemysost,1996-03-01,1182.5000,"No Anomaly",86.0000,"YoY Anomaly (>50% change)"
71,Fløtemysost,1996-04-01,752.5000,"No Anomaly",2769.2000,"YoY Anomaly (>50% change)"
71,Fløtemysost,1996-05-01,4235.5000,"High Anomaly",1290.0000,"YoY Anomaly (>50% change)"
72,"Mozzarella di Giovanni",1996-01-01,1392.0000,"No Anomaly",841.2000,"YoY Anomaly (>50% change)"
72,"Mozzarella di Giovanni",1996-02-01,1914.0000,"No Anomaly",945.2000,"YoY Anomaly (>50% change)"
72,"Mozzarella di Giovanni",1996-04-01,3514.8000,"High Anomaly",556.0000,"YoY Anomaly (>50% change)"
75,"Rhönbräu Klosterbier",1995-12-01,155.0000,"No Anomaly",62.0000,"YoY Anomaly (>50% change)"
75,"Rhönbräu Klosterbier",1996-01-01,906.7500,"No Anomaly",310.0000,"YoY Anomaly (>50% change)"
75,"Rhönbräu Klosterbier",1996-03-01,1038.5000,"No Anomaly",173.6000,"YoY Anomaly (>50% change)"
75,"Rhönbräu Klosterbier",1996-04-01,1681.7500,"High Anomaly",62.0000,"YoY Anomaly (>50% change)"
75,"Rhönbräu Klosterbier",1996-05-01,232.5000,"No Anomaly",889.7000,"YoY Anomaly (>50% change)"
75,"Rhönbräu Klosterbier",1996-06-01,31.0000,"No Anomaly",232.5000,"YoY Anomaly (>50% change)"
76,Lakkalikööri,1995-11-01,900.0000,"No Anomaly",475.2000,"YoY Anomaly (>50% change)"
76,Lakkalikööri,1995-12-01,900.0000,"No Anomaly",518.4000,"YoY Anomaly (>50% change)"
76,Lakkalikööri,1996-02-01,1638.0000,"No Anomaly",388.8000,"YoY Anomaly (>50% change)"
76,Lakkalikööri,1996-03-01,180.0000,"No Anomaly",504.0000,"YoY Anomaly (>50% change)"
76,Lakkalikööri,1996-04-01,2502.0000,"High Anomaly",489.6000,"YoY Anomaly (>50% change)"
76,Lakkalikööri,1996-05-01,2628.0000,"High Anomaly",259.2000,"YoY Anomaly (>50% change)"
76,Lakkalikööri,1996-06-01,36.0000,"No Anomaly",604.8000,"YoY Anomaly (>50% change)"
77,"Original Frankfurter grüne Soße",1995-08-01,1105.0000,"High Anomaly",NULL,"No Anomaly"
77,"Original Frankfurter grüne Soße",1995-10-01,910.0000,"No Anomaly",280.8000,"YoY Anomaly (>50% change)"
77,"Original Frankfurter grüne Soße",1995-11-01,390.0000,"No Anomaly",104.0000,"YoY Anomaly (>50% change)"
77,"Original Frankfurter grüne Soße",1995-12-01,26.0000,"No Anomaly",124.8000,"YoY Anomaly (>50% change)"
77,"Original Frankfurter grüne Soße",1996-04-01,910.0000,"No Anomaly",312.0000,"YoY Anomaly (>50% change)"
77,"Original Frankfurter grüne Soße",1996-05-01,1027.0000,"No Anomaly",384.8000,"YoY Anomaly (>50% change)"
77,"Original Frankfurter grüne Soße",1996-06-01,390.0000,"No Anomaly",130.0000,"YoY Anomaly (>50% change)"
